"","id","age","partner","community","canrepro","cid","fid","justMarried","sex","t1","t2","t3","t4"
"1",1,169,48,4,0,18,1,0,0,0,1,0,1
"2",2,140,189,2,0,101,3,0,1,0,1,0,0
"3",3,133,17,3,0,6,2,0,0,0,0,1,0
"4",4,131,6,2,0,2,5,0,1,0,1,0,0
"5",5,130,7,4,0,1,6,0,0,0,1,0,1
"6",6,130,4,2,0,2,7,0,0,0,1,1,0
"7",7,130,5,4,0,1,9,0,1,0,1,0,1
"8",8,128,154,2,0,66,8,0,0,0,1,0,0
"9",9,122,125,2,0,54,10,0,0,0,1,0,0
"10",10,121,16,2,0,7,9,0,0,0,1,0,0
"11",11,108,163,4,0,68,4,0,1,0,1,0,1
"12",12,99,19,1,0,4,13,0,0,0,0,0,0
"13",13,99,14,2,0,3,18,0,0,0,1,0,0
"14",14,99,13,2,0,3,24,0,1,0,1,0,0
"15",15,95,20,2,0,5,14,0,1,0,1,0,0
"16",16,95,10,2,0,7,15,0,1,0,1,0,0
"17",17,91,3,3,0,6,23,0,1,0,0,1,0
"18",18,90,127,1,0,53,19,0,0,0,0,0,0
"19",19,90,12,1,0,4,21,0,1,0,0,0,0
"20",20,85,15,2,0,5,27,0,0,0,1,0,0
"21",21,84,34,1,0,9,29,0,1,0,1,0,0
"22",22,81,30,1,0,8,33,0,1,0,1,0,0
"23",23,81,32,1,0,12,30,0,0,0,1,0,0
"24",24,81,156,1,0,103,39,0,0,0,1,0,0
"25",25,79,33,4,0,10,12,0,1,0,1,0,1
"26",26,79,27,4,0,11,25,0,1,0,1,0,1
"27",27,79,26,4,0,11,37,0,0,0,1,0,1
"28",28,79,207,1,0,92,32,0,0,0,0,0,0
"29",29,79,75,1,0,28,40,0,0,0,1,1,0
"30",30,78,22,1,0,8,26,0,0,0,1,0,0
"31",31,77,46,1,0,17,11,0,1,0,1,0,0
"32",32,77,23,1,0,12,16,0,1,0,1,0,0
"33",33,77,25,4,0,10,22,0,0,0,1,0,1
"34",34,77,21,1,0,9,36,0,0,0,0,1,0
"35",35,72,36,3,0,13,42,0,1,0,1,1,0
"36",36,70,35,3,0,13,46,0,0,0,1,1,0
"37",37,70,229,2,0,117,52,0,0,0,0,1,0
"38",38,69,45,1,0,16,17,0,1,0,1,0,0
"39",39,69,90,3,0,40,23,0,0,0,0,1,0
"40",40,68,41,2,0,14,34,0,1,0,1,0,0
"41",41,68,40,2,0,14,56,0,0,0,1,0,0
"42",42,66,43,3,0,15,31,0,0,0,0,1,0
"43",43,66,42,3,0,15,45,0,1,0,0,1,0
"44",44,66,56,2,0,73,35,0,0,0,1,0,0
"45",45,66,38,1,0,16,51,0,0,0,1,0,0
"46",46,65,31,1,0,17,20,0,0,0,1,1,0
"47",47,65,230,2,0,115,61,0,1,0,1,0,0
"48",48,65,1,4,0,18,47,0,1,0,1,0,1
"49",49,62,51,4,0,20,21,0,0,0,1,0,1
"50",50,62,52,2,0,19,35,0,0,0,0,0,0
"51",51,62,49,4,0,20,47,0,1,0,1,0,1
"52",52,62,50,2,0,19,54,0,1,0,0,0,0
"53",53,60,116,3,0,60,62,0,1,0,1,1,0
"54",54,59,139,2,0,77,35,0,0,0,1,0,0
"55",55,57,59,2,0,21,57,0,0,0,1,0,0
"56",56,57,44,2,0,73,46,0,1,0,1,0,0
"57",57,57,84,2,0,34,54,0,1,0,0,0,0
"58",58,57,269,4,0,140,65,1,1,0,1,0,1
"59",59,57,55,2,0,21,73,0,1,0,1,0,0
"60",60,56,64,3,0,23,53,0,1,0,1,1,0
"61",61,55,76,3,0,30,41,0,0,0,1,1,0
"62",62,55,63,3,0,22,49,0,0,0,1,1,0
"63",63,55,62,3,0,22,53,0,1,0,1,1,0
"64",64,55,60,3,0,23,56,0,0,0,1,1,0
"65",65,54,71,2,0,24,44,0,0,0,1,0,0
"66",66,54,68,3,0,27,43,0,0,0,1,1,0
"67",67,54,72,3,0,25,58,0,0,0,1,1,0
"68",68,54,66,3,0,27,77,0,1,0,1,1,0
"69",69,54,70,1,0,26,47,0,0,0,1,0,1
"70",70,54,69,1,0,26,59,0,1,0,0,0,0
"71",71,54,65,2,0,24,68,0,1,0,1,0,0
"72",72,54,67,3,0,25,74,0,1,0,1,1,0
"73",73,53,74,1,0,29,46,0,0,0,1,0,0
"74",74,53,73,1,0,29,55,0,1,0,1,0,0
"75",75,53,29,1,0,28,66,0,1,0,1,0,0
"76",76,53,61,3,0,30,76,0,1,0,1,1,0
"77",77,52,80,2,0,33,48,0,0,0,1,0,0
"78",78,52,82,1,0,32,28,0,0,0,1,0,0
"79",79,52,81,3,0,31,53,0,1,0,1,1,0
"80",80,52,77,2,0,33,52,0,1,0,1,0,0
"81",81,52,79,3,0,31,51,0,0,0,1,1,0
"82",82,52,78,1,0,32,69,0,1,0,1,0,0
"83",83,51,85,1,0,35,50,0,1,0,1,0,0
"84",84,51,57,2,0,34,63,0,0,0,0,0,0
"85",85,51,83,1,0,35,74,0,0,0,1,1,0
"86",86,50,87,3,0,37,44,0,1,0,1,1,0
"87",87,50,86,3,0,37,34,0,0,0,1,0,0
"88",88,50,89,4,0,36,64,0,0,0,0,0,1
"89",89,50,88,4,0,36,67,0,1,0,0,0,1
"90",90,49,39,3,0,40,38,0,1,0,1,1,0
"91",91,49,92,1,0,38,56,0,0,0,1,0,0
"92",92,49,91,1,0,38,89,0,1,0,1,0,0
"93",93,49,98,4,0,41,88,0,1,0,1,0,1
"94",94,48,95,4,0,39,57,0,1,0,1,0,1
"95",95,48,94,4,0,39,79,0,0,0,1,0,1
"96",96,47,106,3,0,44,87,0,0,0,1,1,0
"97",97,47,123,1,0,50,57,0,0,0,0,0,0
"98",98,47,93,4,0,41,50,0,0,0,1,0,1
"99",99,47,119,3,0,49,75,0,0,0,0,1,0
"100",100,47,256,2,0,124,97,0,0,0,1,1,0
"101",101,46,104,4,0,43,87,0,1,0,1,0,1
"102",102,46,105,3,0,42,45,0,1,0,0,1,0
"103",103,46,240,3,0,108,53,0,0,0,1,1,0
"104",104,46,101,4,0,43,89,0,0,0,1,0,1
"105",105,46,102,3,0,42,60,0,0,0,1,0,0
"106",106,45,96,3,0,44,72,0,1,0,1,1,0
"107",107,45,190,1,0,82,71,0,0,0,0,0,0
"108",108,45,109,1,0,45,104,0,0,0,0,0,0
"109",109,44,108,1,0,45,70,0,1,0,0,0,0
"110",110,44,115,2,0,47,69,0,0,0,1,0,0
"111",111,44,114,4,0,46,104,0,0,0,1,0,1
"112",112,44,124,2,0,52,88,0,0,0,1,0,0
"113",113,44,121,2,0,51,98,0,0,0,1,0,0
"114",114,44,111,4,0,46,93,0,1,0,1,0,1
"115",115,43,110,2,0,47,46,0,1,0,1,0,0
"116",116,43,53,3,0,60,75,0,0,0,1,1,0
"117",117,43,131,4,0,57,92,0,1,0,1,0,1
"118",118,43,120,1,0,48,80,0,1,0,1,0,0
"119",119,43,99,3,0,49,83,0,1,0,0,1,0
"120",120,43,118,1,0,48,90,0,0,0,0,1,0
"121",121,42,113,2,0,51,46,0,1,0,1,0,0
"122",122,42,129,2,0,55,84,0,0,0,1,0,0
"123",123,42,97,1,0,50,98,0,1,0,1,0,0
"124",124,42,112,2,0,52,99,0,1,0,1,0,0
"125",125,41,9,2,0,54,60,0,1,0,1,0,0
"126",126,41,162,2,0,70,65,0,0,0,1,0,0
"127",127,41,18,1,0,53,70,0,1,0,0,0,0
"128",128,40,264,2,0,127,75,0,0,0,1,0,0
"129",129,40,122,2,0,55,73,0,1,0,1,0,0
"130",130,40,132,4,0,56,94,0,0,0,1,0,0
"131",131,40,117,4,0,57,83,0,0,0,0,1,0
"132",132,40,130,4,0,56,102,0,1,0,1,0,1
"133",133,40,134,4,0,58,93,0,1,0,1,0,1
"134",134,40,133,4,0,58,91,0,0,0,1,0,0
"135",135,40,238,4,0,113,109,0,0,0,1,0,1
"136",136,39,140,4,0,59,67,0,1,0,0,0,1
"137",137,39,171,4,0,85,75,0,1,0,1,0,1
"138",138,39,155,3,0,119,105,0,0,0,1,0,0
