"","id","age","partner","community","canrepro","cid","fid","justMarried","sex","t1","t2","t3","t4"
"1",1,117,2,4,0,1,3,0,1,0,0,0,0
"2",2,112,1,4,0,1,2,0,0,0,0,0,0
"3",3,110,19,2,0,5,6,0,0,0,0,0,0
"4",4,109,93,2,0,39,9,0,1,0,0,0,0
"5",5,107,6,3,0,2,4,0,0,0,0,0,0
"6",6,107,5,3,0,2,5,0,1,0,0,0,0
"7",7,105,8,2,0,3,1,0,0,0,0,0,0
"8",8,105,7,2,0,3,7,0,1,0,0,0,0
"9",9,92,14,4,0,4,11,0,0,0,0,0,0
"10",10,88,21,3,0,6,8,0,0,0,0,0,0
"11",11,87,223,3,0,100,25,0,1,0,0,0,0
"12",12,86,17,3,0,46,18,0,1,0,0,0,0
"13",13,86,78,2,0,31,25,0,0,0,0,0,0
"14",14,83,9,4,0,4,28,0,1,0,0,0,0
"15",15,81,23,1,0,7,12,0,0,0,0,0,0
"16",16,80,31,4,0,15,10,0,1,0,0,0,0
"17",17,79,12,3,0,46,14,0,0,0,0,0,0
"18",18,79,157,2,0,63,30,0,0,0,0,0,0
"19",19,78,3,2,0,5,27,0,1,0,0,0,0
"20",20,76,146,1,0,123,32,0,1,0,0,0,0
"21",21,75,10,3,0,6,18,0,1,0,0,0,0
"22",22,74,35,4,0,11,29,0,1,0,0,0,0
"23",23,74,15,1,0,7,16,0,1,0,0,0,0
"24",24,73,25,3,0,8,26,0,0,0,0,0,0
"25",25,72,24,3,0,8,15,0,1,0,0,0,0
"26",26,71,44,2,0,16,17,0,1,0,0,0,0
"27",27,71,49,4,0,28,42,0,0,0,0,0,0
"28",28,70,128,3,0,50,39,0,1,0,0,0,0
"29",29,70,-1,1,0,-1,40,0,0,0,0,0,0
"30",30,70,38,4,0,10,44,0,0,0,0,0,0
"31",31,69,16,4,0,15,26,0,0,0,0,0,0
"32",32,68,192,4,0,87,31,0,0,0,0,0,0
"33",33,68,215,2,0,127,45,0,0,0,0,0,0
"34",34,67,36,1,0,9,26,0,1,0,0,0,0
"35",35,67,22,4,0,11,43,0,0,0,0,0,0
"36",36,67,34,1,0,9,38,0,0,0,0,0,0
"37",37,66,43,3,0,14,19,0,0,0,0,0,0
"38",38,66,30,4,0,10,36,0,1,0,0,0,0
"39",39,65,42,1,0,13,20,0,0,0,0,0,0
"40",40,64,41,3,0,12,34,0,0,0,0,0,0
"41",41,64,40,3,0,12,33,0,1,0,0,0,0
"42",42,64,39,1,0,13,47,0,1,0,0,0,0
"43",43,63,37,3,0,14,22,0,1,0,0,0,0
"44",44,61,26,2,0,16,35,0,0,0,0,0,0
"45",45,61,56,1,0,20,52,0,0,0,0,0,0
"46",46,60,47,1,0,17,49,0,1,0,0,0,0
"47",47,60,46,1,0,17,52,0,0,0,0,0,0
"48",48,60,208,1,0,96,58,0,1,0,0,0,0
"49",49,60,27,4,0,28,63,0,1,0,0,0,0
"50",50,59,55,3,0,19,13,0,0,0,0,0,0
"51",51,59,52,1,0,18,50,0,1,0,0,0,0
"52",52,59,51,1,0,18,28,0,0,0,0,0,0
"53",53,59,85,1,0,29,52,0,0,0,0,0,0
"54",54,58,227,1,0,103,49,0,1,0,0,0,0
"55",55,58,50,3,0,19,59,0,1,0,0,0,0
"56",56,57,45,1,0,20,58,0,1,0,0,0,0
"57",57,56,66,2,0,25,41,0,0,0,0,0,0
"58",58,56,60,2,0,22,66,0,1,0,0,0,0
"59",59,56,210,4,0,98,22,0,0,0,0,0,0
"60",60,56,58,2,0,22,51,0,0,0,0,0,0
"61",61,56,64,1,0,21,75,0,0,0,0,0,0
"62",62,56,63,3,0,23,59,0,1,0,0,0,0
"63",63,56,62,3,0,23,57,0,0,0,0,0,0
"64",64,56,61,1,0,21,58,0,1,0,0,0,0
"65",65,55,67,3,0,24,64,0,0,0,0,0,0
"66",66,55,57,2,0,25,71,0,1,0,0,0,0
"67",67,55,65,3,0,24,78,0,1,0,0,0,0
"68",68,53,155,2,0,68,21,0,1,0,0,0,0
"69",69,53,187,3,0,83,46,0,1,0,0,0,0
"70",70,52,152,4,0,61,61,0,0,0,0,0,0
"71",71,51,172,4,0,85,65,0,1,0,0,0,0
"72",72,51,138,1,0,54,71,0,0,0,0,0,0
"73",73,50,76,3,0,27,24,0,0,0,0,0,0
"74",74,50,75,1,0,26,54,0,0,0,0,0,0
"75",75,50,74,1,0,26,76,0,1,0,0,0,0
"76",76,50,73,3,0,27,74,0,1,0,0,0,0
"77",77,49,95,4,0,35,54,0,0,0,0,0,0
"78",78,49,13,2,0,31,55,0,1,0,0,0,0
"79",79,49,87,1,0,32,85,0,0,0,0,0,0
"80",80,48,-1,2,0,-1,23,0,1,0,0,0,0
"81",81,48,83,2,0,30,79,0,0,0,0,0,0
"82",82,48,108,1,0,42,69,0,0,0,0,0,0
"83",83,48,81,2,0,30,83,0,1,0,0,0,0
"84",84,48,266,2,0,129,90,0,1,0,0,0,0
"85",85,48,53,1,0,29,91,0,1,0,0,0,0
"86",86,46,88,2,0,33,24,0,1,0,0,0,0
"87",87,46,79,1,0,32,70,0,1,0,0,0,0
"88",88,46,86,2,0,33,89,0,0,0,0,0,0
"89",89,45,154,4,0,62,37,0,0,0,0,0,0
"90",90,45,92,4,0,34,59,0,0,0,0,0,0
"91",91,45,253,1,0,120,48,0,0,0,0,0,0
"92",92,45,90,4,0,34,79,0,1,0,0,0,0
"93",93,45,4,2,0,39,95,0,0,0,0,0,0
"94",94,44,103,2,0,38,75,0,0,0,0,0,0
"95",95,44,77,4,0,35,63,0,1,0,0,0,0
"96",96,44,120,1,0,51,103,0,1,0,0,0,0
"97",97,43,168,4,0,73,22,0,0,0,0,0,0
"98",98,43,105,2,0,37,24,0,1,0,0,0,0
"99",99,43,102,2,0,36,56,0,0,0,0,0,0
"100",100,43,140,1,0,57,54,0,0,0,0,0,0
"101",101,43,195,2,0,107,94,0,0,0,0,0,0
"102",102,43,99,2,0,36,90,0,1,0,0,0,0
"103",103,43,94,2,0,38,84,0,1,0,0,0,0
"104",104,43,106,2,0,40,86,0,0,0,0,0,0
"105",105,43,98,2,0,37,92,0,0,0,0,0,0
"106",106,42,104,2,0,40,60,0,1,0,0,0,0
"107",107,42,114,4,0,44,84,0,0,0,0,0,0
"108",108,41,82,1,0,42,45,0,1,0,0,0,0
"109",109,41,111,4,0,41,60,0,0,0,0,0,0
"110",110,41,245,4,0,115,82,0,1,0,0,0,0
"111",111,41,109,4,0,41,80,0,1,0,0,0,0
"112",112,41,113,2,0,43,71,0,1,0,0,0,0
"113",113,41,112,2,0,43,91,0,0,0,0,0,0
"114",114,41,107,4,0,44,106,0,1,0,0,0,0
"115",115,41,135,4,0,55,109,0,0,0,0,0,0
"116",116,40,117,3,0,45,61,0,0,0,0,0,0
"117",117,40,116,3,0,45,107,0,1,0,0,0,0
"118",118,39,130,3,0,53,62,0,0,0,0,0,0
"119",119,38,129,1,0,48,33,0,0,0,0,0,0
"120",120,38,96,1,0,51,73,0,0,0,0,0,0
"121",121,38,126,1,0,49,37,0,0,0,0,0,0
"122",122,38,127,2,0,47,46,0,0,0,0,0,0
"123",123,38,144,4,0,88,76,0,0,0,0,0,0
"124",124,38,133,4,0,52,77,0,0,0,0,0,0
"125",125,38,151,2,0,64,68,0,1,0,0,0,0
"126",126,38,121,1,0,49,114,0,1,0,0,0,0
"127",127,38,122,2,0,47,105,0,1,0,0,0,0
"128",128,38,28,3,0,50,96,0,0,0,0,0,0
"129",129,38,119,1,0,48,111,0,1,0,0,0,0
"130",130,37,118,3,0,53,37,0,1,0,0,0,0
"131",131,37,136,1,0,56,44,0,0,0,0,0,0
"132",132,37,262,2,0,130,77,0,1,0,0,0,0
"133",133,37,124,4,0,52,85,0,1,0,0,0,0
"134",134,36,150,3,0,60,101,0,0,0,0,0,0
"135",135,36,115,4,0,55,79,0,1,0,0,0,0
"136",136,36,131,1,0,56,114,0,1,0,0,0,0
"137",137,36,167,3,0,75,88,0,1,0,0,0,0
"138",138,36,72,1,0,54,96,0,1,0,0,0,0
"139",139,35,158,2,0,66,80,0,0,0,0,0,0
"140",140,35,100,1,0,57,115,0,1,0,0,0,0
"141",141,34,147,2,0,58,54,0,1,0,0,0,0
"142",142,34,143,4,0,59,101,0,1,0,0,0,0
"143",143,34,142,4,0,59,107,0,0,0,0,0,0
"144",144,34,123,4,0,88,95,0,1,0,0,0,0
"145",145,34,161,3,0,65,100,0,0,0,0,0,0
"146",146,34,20,1,0,123,113,0,0,0,0,0,0
"147",147,34,141,2,0,58,118,0,0,0,0,0,0
"148",148,34,184,3,0,80,121,0,1,0,0,0,0
"149",149,33,265,2,0,125,68,0,1,0,0,0,0
"150",150,33,134,3,0,60,102,0,1,0,0,0,0
"151",151,32,125,2,0,64,53,0,0,0,0,0,0
"152",152,32,70,4,0,61,101,0,1,0,0,0,0
"153",153,32,165,1,0,71,71,0,0,0,0,0,0
"154",154,32,89,4,0,62,120,0,1,0,0,0,0
"155",155,32,68,2,0,68,114,0,0,0,0,0,0
"156",156,32,159,4,0,67,87,0,0,0,0,0,0
"157",157,32,18,2,0,63,122,0,1,0,0,0,0
"158",158,31,139,2,0,66,104,0,1,0,0,0,0
"159",159,31,156,4,0,67,72,0,1,0,0,0,0
"160",160,31,198,3,0,93,109,0,1,0,0,0,0
"161",161,31,145,3,0,65,124,0,1,0,0,0,0
"162",162,30,163,3,0,69,63,0,0,0,0,0,0
"163",163,30,162,3,0,69,81,0,1,0,0,0,0
"164",164,30,166,2,0,70,98,0,0,0,0,0,0
"165",165,30,153,1,0,71,115,0,1,0,0,0,0
"166",166,30,164,2,0,70,125,0,1,0,0,0,0
"167",167,30,137,3,0,75,123,0,0,0,0,0,0
"168",168,29,97,4,0,73,53,0,1,0,0,0,0
"169",169,29,170,2,0,72,131,0,1,0,0,0,0
"170",170,29,169,2,0,72,82,0,0,0,0,0,0
"171",171,29,176,4,0,76,126,0,0,0,0,0,0
"172",172,29,71,4,0,85,79,0,0,0,0,0,0
"173",173,29,174,4,0,78,71,0,0,0,0,0,0
"174",174,29,173,4,0,78,86,0,1,0,0,0,0
"175",175,29,179,3,0,77,99,0,1,0,0,0,0
"176",176,29,171,4,0,76,106,0,1,0,0,0,0
"177",177,29,178,2,0,74,118,0,0,0,0,0,0
"178",178,29,177,2,0,74,130,0,1,0,0,0,0
"179",179,29,175,3,0,77,129,0,0,0,0,0,0
"180",180,28,188,4,0,84,53,0,1,0,0,0,0
"181",181,28,183,1,0,82,46,0,0,0,0,0,0
"182",182,28,202,4,0,90,82,0,1,0,0,0,0
"183",183,28,181,1,0,82,76,0,1,0,0,0,0
"184",184,28,148,3,0,80,79,0,0,0,0,0,0
"185",185,28,190,4,0,81,95,0,1,0,0,0,0
"186",186,28,189,1,0,79,98,0,1,0,0,0,0
"187",187,28,69,3,0,83,108,0,0,0,0,0,0
"188",188,28,180,4,0,84,115,0,0,0,0,0,0
"189",189,28,186,1,0,79,118,0,0,0,0,0,0
